127.0.0.1, 2015-11-22 17:11:39, GET, /, HTTP/1.1, 303, 0.085017
127.0.0.1, 2015-11-22 17:11:40, GET, /welcome/default/index, HTTP/1.1, 200, 0.737388
127.0.0.1, 2015-11-22 17:11:40, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.002038
127.0.0.1, 2015-11-22 17:11:46, GET, /start/default/index, HTTP/1.1, 200, 0.167810
127.0.0.1, 2015-11-22 17:11:46, GET, /start/static/js/share.js, HTTP/1.1, 304, 0.000530
127.0.0.1, 2015-11-22 17:11:46, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.019621
127.0.0.1, 2015-11-22 17:11:46, GET, /start/static/images/background.jpg, HTTP/1.1, 200, 0.023715
127.0.0.1, 2015-11-22 17:11:55, GET, /start/default/HomePage, HTTP/1.1, 404, 0.012980
127.0.0.1, 2015-11-22 17:14:03, GET, /start/default/index, HTTP/1.1, 200, 0.026916
127.0.0.1, 2015-11-22 17:14:06, GET, /start/default/homepage.html, HTTP/1.1, 404, 0.011005
127.0.0.1, 2015-11-22 17:14:17, GET, /start/default/homepage.html, HTTP/1.1, 200, 0.025239
127.0.0.1, 2015-11-22 17:14:17, GET, /start/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001505
127.0.0.1, 2015-11-22 17:14:17, GET, /start/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.002250
127.0.0.1, 2015-11-22 17:14:17, GET, /start/static/font-awesome-4.4.0/css/font-awesome.min.css, HTTP/1.1, 304, 0.002902
127.0.0.1, 2015-11-22 17:14:17, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.002893
127.0.0.1, 2015-11-22 17:14:17, GET, /start/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.002710
127.0.0.1, 2015-11-22 17:14:17, GET, /start/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.001984
127.0.0.1, 2015-11-22 17:14:17, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.001707
127.0.0.1, 2015-11-22 17:14:17, GET, /start/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001531
127.0.0.1, 2015-11-22 17:14:17, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.002863
127.0.0.1, 2015-11-22 17:14:17, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.001589
127.0.0.1, 2015-11-22 17:14:17, GET, /start/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.003476
127.0.0.1, 2015-11-22 17:14:17, GET, /start/static/js/share.js, HTTP/1.1, 304, 0.000751
127.0.0.1, 2015-11-22 17:14:17, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.002999
127.0.0.1, 2015-11-22 17:14:17, GET, /start/static/js/ractive.min.js, HTTP/1.1, 200, 0.001136
127.0.0.1, 2015-11-22 17:14:17, GET, /start/static/images/facebook.png, HTTP/1.1, 304, 0.000596
127.0.0.1, 2015-11-22 17:14:17, GET, /start/static/images/gplus-32.png, HTTP/1.1, 304, 0.000461
127.0.0.1, 2015-11-22 17:14:17, GET, /start/static/images/twitter.png, HTTP/1.1, 304, 0.002170
127.0.0.1, 2015-11-22 17:14:41, GET, /start/default/homepage.html, HTTP/1.1, 200, 0.041055
127.0.0.1, 2015-11-22 17:14:41, GET, /start/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000686
127.0.0.1, 2015-11-22 17:14:41, GET, /start/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.002195
127.0.0.1, 2015-11-22 17:14:41, GET, /start/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.004095
127.0.0.1, 2015-11-22 17:14:41, GET, /start/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001645
127.0.0.1, 2015-11-22 17:14:41, GET, /start/static/font-awesome-4.4.0/css/font-awesome.min.css, HTTP/1.1, 304, 0.000602
127.0.0.1, 2015-11-22 17:14:41, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.002207
127.0.0.1, 2015-11-22 17:14:41, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.001738
127.0.0.1, 2015-11-22 17:14:41, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.002557
127.0.0.1, 2015-11-22 17:14:41, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.002728
127.0.0.1, 2015-11-22 17:14:41, GET, /start/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.002324
127.0.0.1, 2015-11-22 17:14:41, GET, /start/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.001932
127.0.0.1, 2015-11-22 17:14:41, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.003899
127.0.0.1, 2015-11-22 17:14:41, GET, /start/static/js/share.js, HTTP/1.1, 304, 0.001747
127.0.0.1, 2015-11-22 17:14:41, GET, /start/static/js/ractive.min.js, HTTP/1.1, 304, 0.001366
127.0.0.1, 2015-11-22 17:14:42, GET, /start/static/images/twitter.png, HTTP/1.1, 304, 0.000629
127.0.0.1, 2015-11-22 17:14:42, GET, /start/static/images/facebook.png, HTTP/1.1, 304, 0.001461
127.0.0.1, 2015-11-22 17:14:42, GET, /start/static/images/gplus-32.png, HTTP/1.1, 304, 0.000569
127.0.0.1, 2015-11-22 17:14:58, GET, /start/default/homepage.html, HTTP/1.1, 200, 0.023889
127.0.0.1, 2015-11-22 17:14:58, GET, /start/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000668
127.0.0.1, 2015-11-22 17:14:58, GET, /start/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.002325
127.0.0.1, 2015-11-22 17:14:58, GET, /start/static/font-awesome-4.4.0/css/font-awesome.min.css, HTTP/1.1, 304, 0.001196
127.0.0.1, 2015-11-22 17:14:58, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.002264
127.0.0.1, 2015-11-22 17:14:58, GET, /start/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001429
127.0.0.1, 2015-11-22 17:14:58, GET, /start/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.003963
127.0.0.1, 2015-11-22 17:14:58, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.002542
127.0.0.1, 2015-11-22 17:14:58, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.004078
127.0.0.1, 2015-11-22 17:14:58, GET, /start/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.003449
127.0.0.1, 2015-11-22 17:14:58, GET, /start/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000977
127.0.0.1, 2015-11-22 17:14:58, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.001442
127.0.0.1, 2015-11-22 17:14:58, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.004078
127.0.0.1, 2015-11-22 17:14:58, GET, /start/static/js/ractive.min.js, HTTP/1.1, 304, 0.002553
127.0.0.1, 2015-11-22 17:14:58, GET, /start/static/js/share.js, HTTP/1.1, 304, 0.000999
127.0.0.1, 2015-11-22 17:14:58, GET, /start/static/images/twitter.png, HTTP/1.1, 304, 0.001036
127.0.0.1, 2015-11-22 17:14:58, GET, /start/static/images/gplus-32.png, HTTP/1.1, 304, 0.001108
127.0.0.1, 2015-11-22 17:14:58, GET, /start/static/images/facebook.png, HTTP/1.1, 304, 0.000516
127.0.0.1, 2015-11-22 17:16:44, GET, /start/default/homepage.html, HTTP/1.1, 200, 0.069720
127.0.0.1, 2015-11-22 17:16:44, GET, /start/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001056
127.0.0.1, 2015-11-22 17:16:44, GET, /start/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.000496
127.0.0.1, 2015-11-22 17:16:44, GET, /start/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.002821
127.0.0.1, 2015-11-22 17:16:44, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.000853
127.0.0.1, 2015-11-22 17:16:44, GET, /start/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001836
127.0.0.1, 2015-11-22 17:16:44, GET, /start/static/font-awesome-4.4.0/css/font-awesome.min.css, HTTP/1.1, 304, 0.002133
127.0.0.1, 2015-11-22 17:16:44, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.003637
127.0.0.1, 2015-11-22 17:16:44, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.001211
